canal medullaire,canal medul pv,oesophage,cavite orale,mandibule,parotide g,parotide d,tronc,trachee,oreille int g,oreille int d,oeil g,oeil d,sous-max g,tronc pv,sous-max d,nerf optique g
"(178.0, 158.0, 0.0)","(175.0, 1.0, 0.0)","(218.0, 161.0, 0.0)","(174.0, 7.0, 54.0)","(174.0, 52.0, 62.0)","(265.0, 102.0, 61.0)","(158.0, 98.0, 59.0)","(217.0, 142.0, 67.0)","(219.0, 135.0, 0.0)","(202.0, 149.0, 78.0)","(195.0, 147.0, 78.0)","(246.0, 66.0, 89.0)","(153.0, 68.0, 89.0)","(254.0, 112.0, 52.0)","(214.0, 140.0, 66.0)","(177.0, 112.0, 51.0)","(173.0, 91.0, 89.0)"
"(289.0, 393.0, 291.0)","(364.0, 395.0, 293.0)","(298.0, 341.0, 218.0)","(330.0, 290.0, 302.0)","(339.0, 296.0, 314.0)","(355.0, 376.0, 307.0)","(243.0, 315.0, 304.0)","(294.0, 327.0, 329.0)","(289.0, 342.0, 216.0)","(314.0, 309.0, 316.0)","(363.0, 312.0, 317.0)","(320.0, 241.0, 334.0)","(253.0, 241.0, 333.0)","(321.0, 289.0, 264.0)","(364.0, 329.0, 329.0)","(257.0, 288.0, 272.0)","(303.0, 340.0, 329.0)"
